Retailer,Region,Product,Units_Sold,Price_per_Unit,Customer_Gender,Customer_Income,Customer_Age_Group,Total_Sales,Operating_Profit,Operating_Margin,High_Profit
0,2,1,251,71,1,2,1,17821,4952.79804953791,0.2779191992333713,1
0,0,2,440,88,1,0,3,38720,13540.376055289724,0.3496997948163668,1
0,0,0,218,24,1,0,2,5232,467.3957036894527,0.0893340412250483,0
1,2,2,102,39,1,2,1,3978,683.0553884492351,0.17170824244576047,0
1,0,0,439,98,1,1,2,43022,15347.983642513373,0.3567473302615725,1
0,2,2,151,165,0,0,3,24915,3004.2338560501175,0.12057932394341231,0
0,2,0,443,130,0,0,0,57590,4456.586860028228,0.07738473450300797,0
0,2,1,413,21,1,1,1,8673,2826.0244481507098,0.3258416289808267,1
0,1,0,443,112,1,2,0,49616,16989.518384439227,0.3424201544751537,1
1,0,2,121,32,0,0,1,3872,414.02628609095336,0.10692827636646522,0
0,2,1,426,23,1,1,0,9798,3419.7086787567664,0.3490210939739504,1
1,0,0,384,189,0,1,1,72576,21073.800836641065,0.2903687284590094,1
0,1,0,68,128,0,0,1,8704,2019.5798861510013,0.23202893912580438,1
1,2,0,52,93,1,2,2,4836,1647.0814763017725,0.3405875674734848,1
0,3,0,216,114,0,0,0,24624,4844.457730330575,0.19673723726163803,0
0,1,0,277,124,1,1,2,34348,4049.5565429264366,0.11789788467818903,0
0,3,1,305,27,1,0,2,8235,1232.7666271609412,0.14969843681371478,0
0,0,1,127,86,0,2,0,10922,2477.1904927298547,0.2268074064026602,1
1,0,1,29,129,0,1,1,3741,882.7479733866228,0.23596577743561153,1
0,1,1,231,28,1,2,2,6468,2147.073874897665,0.33195328925443185,1
1,0,2,175,136,0,0,0,23800,7781.968188023946,0.32697345327831706,1
1,3,1,140,30,1,0,1,4200,1064.6088390907253,0.25347829502160124,1
1,2,0,165,118,0,2,2,19470,6294.162676394039,0.3232749191779168,1
1,2,0,193,61,0,0,2,11773,1378.862123571986,0.11712071040278485,0
0,2,1,99,160,1,2,2,15840,1069.5577382052238,0.06752258448265303,0
1,1,0,103,183,1,0,1,18849,6705.943372994512,0.35577183792214506,1
1,0,1,22,139,1,2,2,3058,233.7659746742923,0.07644407281696936,0
1,3,0,470,160,0,2,1,75200,10252.839470862009,0.13634095041039906,0
0,0,2,331,31,1,1,3,10261,3010.1837097335338,0.29336163236853463,1
0,0,2,302,56,1,1,2,16912,3269.2042324035683,0.1933067781695582,0
0,0,1,442,93,0,2,3,41106,14662.916716571417,0.3567098894704281,1
0,2,1,239,92,0,0,0,21988,3392.592903761894,0.15429292813179435,0
1,3,1,331,71,1,0,2,23501,1272.6959813268145,0.054154971334275756,0
1,3,0,301,149,1,0,0,44849,6961.886688228085,0.15522947419626046,0
0,0,1,447,75,1,2,0,33525,8459.23810837252,0.2523262672146911,1
1,2,2,35,79,1,2,0,2765,502.0643627965372,0.18157843139115268,0
1,2,0,84,42,0,2,3,3528,836.8608788109111,0.23720546451556437,1
1,3,1,465,122,0,2,1,56730,20241.793948528717,0.3568093415922566,1
0,2,0,373,59,1,1,3,22007,8128.720505956702,0.369369768980629,1
0,2,0,433,83,1,2,3,35939,5142.544668361447,0.14309092262893924,0
1,2,1,308,104,1,0,0,32032,6782.749273923511,0.21174916564446528,1
0,1,0,159,170,0,1,2,27030,6546.676956191749,0.24220040533450793,1
0,0,2,157,176,1,0,1,27632,10560.656393057618,0.38218935991088654,1
0,3,2,17,198,1,2,0,3366,1344.7710637075618,0.3995160617075347,1
0,3,0,38,108,0,1,1,4104,543.3389722359689,0.13239253709453433,0
0,1,1,305,50,0,2,3,15250,4642.75506330829,0.3044429549710354,1
1,0,0,483,197,1,1,1,95151,17347.061760892764,0.1823108717816183,0
0,3,2,423,39,1,0,1,16497,871.6663234111509,0.05283786891017463,0
1,2,0,218,149,0,2,2,32482,1729.2891518170431,0.053238382852565824,0
1,3,0,137,172,1,2,0,23564,4976.672090768949,0.21119810264678954,1
0,2,2,349,32,1,1,1,11168,2467.2035079513435,0.22091721955151714,1
1,1,0,125,141,0,1,1,17625,1020.4768157374244,0.05789939380070493,0
1,2,0,448,122,0,2,3,54656,15873.446711925697,0.2904245958710059,1
1,3,1,153,125,0,1,3,19125,2924.2351824074676,0.1529011860082336,0
0,3,1,439,138,1,2,1,60582,14900.905357037813,0.24596258553758232,1
0,3,2,327,89,0,1,0,29103,4520.326725216614,0.1553216756078966,0
1,1,2,244,118,0,0,1,28792,3123.8459178009825,0.10849701020425752,0
0,1,2,16,101,1,1,1,1616,311.0974665515239,0.19251080850960636,0
0,0,1,473,94,1,0,2,44462,5837.668420860336,0.13129567767667527,0
0,3,2,54,137,0,1,0,7398,1754.660169536802,0.23718034192170884,1
0,2,2,452,103,0,1,2,46556,5567.631369606077,0.119589985600268,0
1,1,2,248,88,1,2,0,21824,4974.60821200232,0.2279420918256195,1
1,3,1,449,78,1,1,0,35022,3680.1986217081185,0.10508248020410366,0
0,3,0,441,145,0,1,0,63945,18214.167229323983,0.2848411483200248,1
0,1,2,164,130,0,0,2,21320,6691.883001301908,0.3138781895544985,1
1,0,0,190,81,1,1,2,15390,1364.1385427872683,0.08863798198747683,0
1,1,2,224,163,0,2,2,36512,7803.740583907565,0.21373084421306873,1
0,1,0,97,147,1,0,3,14259,1066.6458528732448,0.07480509522920575,0
1,2,1,265,124,0,2,2,32860,8522.69630617857,0.25936385593970085,1
0,2,1,82,87,1,2,3,7134,1016.8910915005317,0.1425415042753759,0
0,0,2,428,34,1,2,3,14552,3414.896883570907,0.23466855989354776,1
1,3,0,188,54,0,2,3,10152,2346.2424585442636,0.23111135328450194,1
1,1,1,221,33,0,0,1,7293,2724.1106863769855,0.3735240211678302,1
0,0,2,302,196,1,1,1,59192,14335.066938600747,0.24217912789905302,1
0,2,2,243,121,0,2,1,29403,7469.8165047051725,0.2540494679014105,1
1,1,1,474,119,0,0,3,56406,10749.776174152972,0.1905785940175331,0
0,3,1,248,26,0,2,3,6448,2464.2828484629813,0.38217786111398594,1
1,2,2,232,49,1,1,0,11368,3660.6672964783193,0.3220150683038634,1
0,2,0,128,68,0,0,3,8704,1304.6586763785765,0.14989185160599455,0
1,2,0,322,163,0,0,1,52486,18132.514511667963,0.34547335502168125,1
1,0,0,273,130,1,1,3,35490,7145.511388039095,0.2013387260647815,1
1,3,2,216,198,0,0,3,42768,14542.552738125663,0.34003350023675794,1
0,1,1,104,91,0,1,0,9464,3198.9344374153966,0.33801082390272574,1
0,0,2,382,99,1,0,3,37818,4390.84245304917,0.11610456536699905,0
1,0,1,231,102,1,0,2,23562,6960.200568180945,0.29539939598425197,1
0,0,0,375,61,0,1,0,22875,3470.7102730104148,0.1517250392572859,0
1,2,0,285,36,0,1,3,10260,1581.2961779436716,0.15412243449743387,0
1,3,1,389,192,1,0,3,74688,11481.175808119886,0.15372182690820327,0
0,0,1,240,26,1,0,0,6240,1896.6410526709271,0.3039488866459819,1
0,1,2,318,174,0,1,3,55332,7217.457090562612,0.13043911462738764,0
1,3,0,128,29,0,1,1,3712,186.77686115172042,0.05031704233613158,0
0,1,2,277,53,0,0,2,14681,4409.187286092488,0.3003328987189216,1
0,3,2,442,55,1,0,2,24310,2672.0253929211635,0.10991466034229386,0
1,1,2,282,172,0,0,1,48504,4198.934935703925,0.08656883835774214,0
1,2,0,73,25,1,1,3,1825,242.96342202945593,0.13313064220792106,0
0,0,2,307,171,1,0,3,52497,9605.123202131248,0.1829651828129464,0
1,1,2,359,165,1,2,2,59235,12828.358957756265,0.21656721461562026,1
