Company,Sales,ProfitMargin,Age,Income,Gender,Location,Review
Costcutter,29551.511338545748,0.07327675520474772,74,40853.84305700822,Male,Dublin,Very clean and organized store
Musgrave,86415.85689964744,0.19916911878170643,28,29207.797606440956,Female,Liverpool,Excellent product selection
Musgrave,101637.41337479562,0.22103865943327206,25,28470.00921981855,Male,London,Great prices and excellent service
Costcutter,42562.43346410775,0.15106859684348456,72,51325.31342859997,Male,Liverpool,Too expensive
Costcutter,58705.745066728894,0.05325067589063184,60,44291.95002655125,Female,Dublin,Very satisfied with quality
Costcutter,42057.67197724282,0.1303300603914178,40,42367.791803110136,Male,Dublin,Great prices and excellent service
Costcutter,63778.511824149726,0.09429639851499722,41,36974.45961961577,Male,London,Poor customer service
Musgrave,82759.06678978066,0.14272497634692669,28,49273.30365273391,Female,London,Too expensive
Musgrave,134563.9123463771,0.16556148255664796,20,52500.026749651006,Female,Manchester,Great prices and excellent service
Musgrave,112926.60461816104,0.18153789943997806,53,50365.14012073975,Male,Dublin,Great prices and excellent service
Musgrave,132817.48103615342,0.15910283753178678,56,27131.35898653119,Male,Manchester,Poor customer service
Costcutter,68615.1600518102,0.12970053122797565,62,26416.16610495647,Female,Dublin,Great prices and excellent service
Costcutter,68312.94311373412,0.13458693896223528,53,50314.86143865151,Male,Liverpool,Great prices and excellent service
Costcutter,19858.34409520681,0.1315174344869036,56,45667.43252337167,Male,Birmingham,Very clean and organized store
Costcutter,66575.2277922397,0.12325579738839489,29,29882.91450161187,Female,London,Very satisfied with quality
Musgrave,141056.8417095458,0.13405433112597356,38,39152.150594777195,Male,Birmingham,Bad shopping experience
Musgrave,80126.12974478872,0.19645777268697082,53,47415.62555600617,Female,Manchester,Friendly staff and fast checkout
Musgrave,132807.70116969183,0.08800489644949319,68,8458.466100634398,Female,Manchester,Great prices and excellent service
Costcutter,47670.66735008808,0.17118920250281797,40,60913.29577776894,Female,Dublin,Very clean and organized store
Costcutter,51637.536741703836,0.14808384009732323,32,51789.30730967651,Male,Birmingham,Long waiting time
Musgrave,151631.19030576674,0.3038213910746291,70,27641.577937880644,Female,London,Very satisfied with quality
Costcutter,50043.36842772179,0.08274409886044545,55,25508.519029355415,Male,London,Limited product availability
Costcutter,41284.19351280006,0.11451018617157441,65,26234.19178800733,Female,Liverpool,Limited product availability
Musgrave,112152.16098160215,0.1899799249866804,42,29105.004566969612,Male,London,Very satisfied with quality
Musgrave,157956.22207598583,0.2018654522420906,36,26148.279995813817,Female,Dublin,Friendly staff and fast checkout
Costcutter,42166.770749867515,0.07932931660792061,25,40030.0954670832,Male,Dublin,Friendly staff and fast checkout
Costcutter,50286.81776540105,0.11193287797161776,42,52602.65742181239,Female,London,Too expensive
Costcutter,57398.77271385403,0.08723380625094383,28,34893.388178811685,Female,Liverpool,Great prices and excellent service
Musgrave,158291.87824227614,0.07265877706953065,73,14442.112861810701,Female,Birmingham,Very satisfied with quality
Musgrave,130861.14596132911,0.13591084458735958,56,11819.728603720569,Female,London,Bad shopping experience
Costcutter,44204.2906004215,0.1342257870003861,42,45803.294278619906,Female,London,Very satisfied with quality
Musgrave,109065.26964618353,0.1925415486480758,56,26253.505757632916,Male,London,Excellent product selection
Costcutter,63498.34804743708,0.0680237969726076,72,34182.519467211896,Female,Liverpool,Excellent product selection
Musgrave,127854.31890940835,0.15913909557295963,51,15301.743892522165,Male,Dublin,Too expensive
Musgrave,133487.3645524223,0.2734615268390066,54,39603.622669324475,Female,London,Excellent product selection
Musgrave,120412.33581347176,0.21402402868689452,43,25369.118549097046,Female,Dublin,Limited product availability
Costcutter,54703.97411562697,0.07743033718974285,46,42848.101716112236,Female,Liverpool,Long waiting time
Musgrave,126423.22117247505,0.2128015753393476,52,28184.531812709618,Female,Birmingham,Excellent product selection
Musgrave,91610.01191454571,0.17309491342496622,75,36072.87129020293,Female,Manchester,Limited product availability
Musgrave,144861.8455035936,0.16932069833864338,58,41719.90958275777,Male,London,Excellent product selection
Costcutter,67010.64545801243,0.08922289308939065,42,45704.503500845676,Male,Birmingham,Friendly staff and fast checkout
Musgrave,144247.08915110145,0.1945086965661561,18,34563.171744989464,Male,Dublin,Long waiting time
Costcutter,30730.284294146946,0.1886169625872094,70,35790.9084422479,Male,Liverpool,Limited product availability
Musgrave,133828.77532681767,0.2344168225332398,39,24908.471933096836,Male,Manchester,Bad shopping experience
Costcutter,60373.73813593591,0.13107014296907576,64,-2845.5493257367602,Male,Manchester,Poor customer service
Musgrave,108053.13414579889,0.18854729314430102,36,33996.23756995018,Female,Birmingham,Poor customer service
Costcutter,34342.25112616396,0.08818305245798443,44,42503.83326254734,Female,Manchester,Bad shopping experience
Costcutter,26687.34849124671,0.09403249536304444,42,37522.740393158885,Female,Liverpool,Poor customer service
Costcutter,48191.04141577309,0.13561267497246182,73,18111.27537575187,Male,Dublin,Bad shopping experience
Musgrave,106708.15703423742,0.2346644012966337,22,42502.65958458523,Female,Manchester,Too expensive
Costcutter,83829.75188603385,0.04166975699865461,54,27505.937478256896,Male,Liverpool,Limited product availability
Costcutter,52300.827567588654,0.1188869037735758,45,37069.773985041706,Female,Manchester,Very clean and organized store
Costcutter,35299.3177553137,0.13686619660525184,67,53337.2357743286,Male,Liverpool,Bad shopping experience
Musgrave,113224.68022319148,0.16958474527838954,45,26462.219304570375,Female,London,Friendly staff and fast checkout
Costcutter,57137.288389436144,0.13031491680108603,74,22220.224099274372,Female,Birmingham,Limited product availability
Musgrave,113747.98423703031,0.1672482688686594,67,43265.850103927005,Female,Dublin,Too expensive
Costcutter,44996.62826390862,0.12831680199121473,31,67715.89799547066,Female,London,Too expensive
Musgrave,123123.17103688217,0.15081521117469876,33,53921.51988984856,Male,Dublin,Great prices and excellent service
Costcutter,34154.145531625836,0.14470569516665074,22,16533.72186123834,Male,Dublin,Limited product availability
Costcutter,36312.1711170118,0.07550820942860823,55,42364.45213621748,Female,Dublin,Very clean and organized store
Costcutter,12535.871143625185,0.142305288134483,50,43725.018884710385,Male,Liverpool,Bad shopping experience
Costcutter,72111.5277551499,0.1294630866688367,56,40447.06663576992,Male,London,Too expensive
Musgrave,118091.16618813442,0.1947293880827058,48,31627.963776978286,Female,Dublin,Great prices and excellent service
Costcutter,43177.945430717504,0.08445593807398355,59,40486.93404930457,Male,Liverpool,Very satisfied with quality
Musgrave,132163.00608118938,0.20820986141142164,44,59732.13972808272,Female,Birmingham,Great prices and excellent service
Costcutter,67676.20427758415,0.07943457533146354,46,56219.15267989274,Male,Manchester,Too expensive
Musgrave,136325.12816044924,0.20784618838812927,41,31957.81630593998,Male,Liverpool,Too expensive
Costcutter,67359.12532831637,0.10160259708558116,62,32088.71045950399,Male,Dublin,Great prices and excellent service
Musgrave,131508.8419518949,0.08593415869720751,62,43476.20814465277,Male,Birmingham,Very satisfied with quality
Costcutter,53597.87171458194,0.1304266355239794,31,64967.92771151013,Male,Dublin,Very satisfied with quality
Costcutter,67328.34894868423,0.08154048163967635,74,35468.37986704486,Female,Birmingham,Poor customer service
Musgrave,112159.56980550768,0.19091322662778243,70,20348.06114309472,Female,Dublin,Friendly staff and fast checkout
Musgrave,106485.82127017876,0.14045836656350483,26,53362.50997853427,Male,Manchester,Excellent product selection
Musgrave,168740.45323807196,0.20240237878852094,42,35184.59031088751,Female,Dublin,Great prices and excellent service
Costcutter,46359.0146554796,0.07194068892136576,53,42333.47384416963,Male,Liverpool,Too expensive
Musgrave,99224.12331690115,0.09478414645414733,46,38528.61442497419,Male,London,Too expensive
Musgrave,98139.8260676106,0.18380668347686316,31,52860.669096509904,Male,Dublin,Long waiting time
Costcutter,27393.806706055148,0.1334126403171615,62,29249.398924410514,Male,Manchester,Poor customer service
Costcutter,52690.15973262133,0.10091439905096576,29,30158.47232786142,Female,Dublin,Friendly staff and fast checkout
Costcutter,13761.057777113581,0.11698488443873245,47,28890.38961137813,Male,Dublin,Very satisfied with quality
Musgrave,72812.03818775307,0.1369221795815806,62,48663.832052665646,Male,Birmingham,Poor customer service
Musgrave,134483.5290887998,0.1466547853030449,52,45969.79350383302,Male,Liverpool,Great prices and excellent service
Musgrave,177715.82276302617,0.23216782979715642,63,20200.059567421617,Female,Dublin,Bad shopping experience
Costcutter,72736.19089355343,0.11603953114448005,25,32842.8997334402,Male,Manchester,Excellent product selection
Musgrave,157951.35257339984,0.15983864205718518,68,9135.169578022314,Male,Birmingham,Great prices and excellent service
Musgrave,110330.92926952413,0.16835007204791083,63,46905.96731427365,Male,Liverpool,Friendly staff and fast checkout
Costcutter,51123.87688501529,0.17614521435660832,55,47080.35119591059,Male,Dublin,Limited product availability
Costcutter,60481.5820505375,0.13010771002126487,45,17170.01966546302,Female,Birmingham,Poor customer service
Musgrave,146020.64370952456,0.11294473815281321,18,35279.85765140013,Male,Birmingham,Excellent product selection
Costcutter,40804.87458759545,0.10921747645655847,35,25350.417680721963,Female,Manchester,Limited product availability
Musgrave,122504.58140643746,0.14194411304728718,58,20691.146586509178,Male,Manchester,Too expensive
Costcutter,58749.79086416064,0.10569384823292889,56,51318.63757114194,Male,Dublin,Friendly staff and fast checkout
Costcutter,61298.163027168666,0.09246176491119788,33,40586.15310307237,Male,Birmingham,Excellent product selection
Musgrave,105172.24067541216,0.23121668546088073,49,44911.72784018645,Male,Liverpool,Friendly staff and fast checkout
Costcutter,53864.89837688844,0.08615706364431158,41,26605.260480067886,Male,Liverpool,Great prices and excellent service
Musgrave,81690.92372340783,0.1846579751813159,45,23199.033696395898,Female,London,Bad shopping experience
Costcutter,43410.04411940382,0.08682672295845247,62,25987.06464946434,Male,Manchester,Long waiting time
Costcutter,54222.36238559864,0.0934310636463318,46,16431.54104816253,Male,Dublin,Bad shopping experience
Costcutter,30978.49348387633,0.13731306857138803,50,21164.093706076128,Male,Liverpool,Long waiting time
Musgrave,104922.09487207921,0.21020535113345565,33,23914.1313372377,Female,London,Very clean and organized store
Costcutter,40568.696481703606,0.14262596688557935,56,42728.58944637152,Female,London,Great prices and excellent service
Musgrave,96618.1804794163,0.15481249179610931,42,18326.722216500933,Female,London,Very clean and organized store
Costcutter,35401.66866136553,0.11260136696636684,47,32340.3609034443,Male,Liverpool,Long waiting time
Costcutter,73764.23426574032,0.1310410724955425,32,25432.519447338298,Female,Liverpool,Very satisfied with quality
Musgrave,147058.61687247912,0.2461944609455272,18,47817.88071969984,Female,Manchester,Friendly staff and fast checkout
Costcutter,50398.46605260196,0.09731038245070858,29,30469.32753641868,Female,Liverpool,Very clean and organized store
Costcutter,39951.83373794743,0.12247152685352793,51,21056.956445274496,Female,Manchester,Very clean and organized store
Musgrave,53508.507112764186,0.1584730070409795,54,36498.985261833346,Female,Birmingham,Poor customer service
Costcutter,46550.7469066634,0.09146555134634468,33,34417.50153865626,Female,Liverpool,Limited product availability
Musgrave,128976.60877986871,0.19588998255361686,59,20060.2779247979,Male,London,Poor customer service
Musgrave,136126.121670927,0.1415073032116247,57,37785.35142351122,Male,Dublin,Great prices and excellent service
Musgrave,162381.59335507493,0.20787399360216205,74,43651.47793542303,Male,London,Great prices and excellent service
Costcutter,52888.66333407755,0.17496512439120954,38,30944.224082765588,Male,Birmingham,Poor customer service
Costcutter,50749.16197231336,0.13787731861332966,34,13215.056641306805,Female,Birmingham,Bad shopping experience
Costcutter,52894.59600921789,0.17223004400959138,42,15692.02937838448,Female,Dublin,Poor customer service
Musgrave,171998.1143447999,0.19610448463415242,39,43731.09606880082,Female,Liverpool,Bad shopping experience
Musgrave,75169.52888583922,0.22757067618331905,53,51218.22356438837,Male,Liverpool,Limited product availability
Musgrave,138275.16229772344,0.19474310370011982,32,29906.942020008944,Male,London,Excellent product selection
Musgrave,74054.90945604618,0.20239252025498258,36,7417.0614200688515,Female,Manchester,Too expensive
Costcutter,86140.40899895913,0.1321439615958869,21,43570.9503280959,Male,Birmingham,Limited product availability
Musgrave,137268.6562835609,0.1246128863558491,38,25397.960537171886,Male,Liverpool,Excellent product selection
Costcutter,32927.14663398257,0.1448462236190241,25,55742.355546014085,Male,London,Too expensive
Costcutter,51708.84543747355,0.15323593153171303,46,35624.587221644,Female,Liverpool,Long waiting time
Costcutter,53176.119711398846,0.11206222339241226,70,32003.92421156816,Male,London,Bad shopping experience
Musgrave,138503.40924247436,0.233689383970208,51,30474.825049975952,Male,Liverpool,Friendly staff and fast checkout
Musgrave,107133.101586075,0.12331612010212457,43,37591.7687609902,Female,Dublin,Too expensive
Musgrave,142874.56892013267,0.19777081665165583,33,45104.759796372506,Male,Dublin,Bad shopping experience
Costcutter,41705.09647245361,0.16450912894457836,19,40305.1442442178,Male,Dublin,Excellent product selection
Costcutter,20713.335987420796,0.11753504443296026,34,42784.03934575986,Female,Manchester,Very satisfied with quality
Costcutter,76276.32485251443,0.10682367983444256,60,35947.56524291698,Male,Dublin,Too expensive
Costcutter,54096.03886065489,0.12407545865376222,42,31512.182557113847,Male,Manchester,Bad shopping experience
Musgrave,148632.95647458936,0.1533444057100016,24,33286.591904073764,Male,London,Very clean and organized store
Musgrave,103037.6727393941,0.17402947640866315,32,37217.91223867913,Male,Manchester,Too expensive
Costcutter,70849.76335416178,0.11445651874074633,36,52065.038338944585,Male,Dublin,Friendly staff and fast checkout
Costcutter,75107.04562189385,0.07604427128210028,36,52585.84015047433,Male,Birmingham,Great prices and excellent service
Costcutter,24618.801095857292,0.18493095431209702,20,17451.441700065647,Male,Dublin,Very satisfied with quality
Musgrave,106536.95888440621,0.09263875077192474,27,33646.38401141634,Male,Dublin,Too expensive
Musgrave,139976.00859765278,0.11875046665489158,54,31628.021773209945,Male,Dublin,Very satisfied with quality
Musgrave,80983.92120139855,0.15763860253369555,27,31858.51801127188,Male,Manchester,Bad shopping experience
Costcutter,32887.68436994785,0.10094068484184372,72,31220.163778101927,Female,Dublin,Very clean and organized store
Costcutter,61132.34330062025,0.10598766585773337,63,27196.045270863226,Male,London,Limited product availability
Musgrave,153438.12463935153,0.1948777876256642,72,34333.04108781846,Male,Liverpool,Limited product availability
Costcutter,32789.14321374623,0.11648295027764387,26,43634.21700743394,Female,Liverpool,Poor customer service
Musgrave,130305.3656226243,0.19036998721210727,55,55821.40715552017,Male,Dublin,Excellent product selection
Musgrave,136306.33680835532,0.16393543824828305,24,42705.978211358786,Female,London,Very clean and organized store
Musgrave,115013.71024815786,0.13026978495752514,49,35943.45485468833,Male,Manchester,Friendly staff and fast checkout
Costcutter,57165.8237776973,0.1346877858547181,38,-1190.6552624453416,Male,Liverpool,Excellent product selection
Costcutter,66485.15403418783,0.16117192487614873,64,46579.13240886381,Male,London,Great prices and excellent service
Costcutter,53833.608582601904,0.1416774200714113,33,35960.03452748159,Female,Dublin,Too expensive
Musgrave,138573.05112038416,0.26144955768924116,33,37674.388708480124,Male,Dublin,Great prices and excellent service
Musgrave,124435.75679899615,0.1731477336570387,69,39777.58384911937,Female,Liverpool,Long waiting time
Musgrave,106122.93040961308,0.10755185968644948,28,26557.316267615242,Female,London,Great prices and excellent service
Musgrave,84152.6386320834,0.23292084657817042,20,49679.24730817767,Female,Manchester,Excellent product selection
Costcutter,24314.576010580626,0.16301555355390301,39,39074.56364517089,Female,Manchester,Very clean and organized store
Musgrave,120762.67150196203,0.12844516336069423,46,34794.15101285017,Female,Dublin,Very satisfied with quality
Musgrave,110343.51827604587,0.16261061529549162,52,24118.501755101424,Male,Birmingham,Very satisfied with quality
Costcutter,52456.82949799909,0.09967539519326743,62,26629.214996149203,Female,Birmingham,Too expensive
Musgrave,132858.7005711449,0.1437436992434423,18,28978.812382610253,Male,Manchester,Great prices and excellent service
Costcutter,58262.007877388874,0.12108724678862948,52,66280.96248951148,Female,Manchester,Limited product availability
Musgrave,139983.327737751,0.13660830568595053,56,15081.461421660988,Male,Dublin,Poor customer service
Musgrave,95723.76694829088,0.1758511478157868,65,64344.40887631241,Male,London,Great prices and excellent service
Musgrave,152318.94992708968,0.18030680011137235,28,30275.8750281997,Female,Dublin,Excellent product selection
Musgrave,159618.22101163538,0.2013578814123101,34,56613.58574430591,Male,Liverpool,Excellent product selection
Costcutter,21408.51249079689,0.09592695271978599,41,43438.862667527406,Female,Liverpool,Long waiting time
Costcutter,43642.48046694061,0.10283602019048832,73,40331.78357746891,Female,Birmingham,Very satisfied with quality
Musgrave,104456.66507737726,0.22318435873959427,72,49427.944430847856,Male,Dublin,Very clean and organized store
Costcutter,52246.53861048887,0.1156168250831987,46,24223.0179320111,Female,Dublin,Great prices and excellent service
Costcutter,91939.51925567897,0.07805548018618479,71,37459.50172334582,Male,Birmingham,Very clean and organized store
Costcutter,58681.80765776193,0.1437597962285133,27,36894.02808748542,Male,Liverpool,Very clean and organized store
Musgrave,77803.2663057438,0.2184507845662474,58,22169.794359952968,Male,London,Very satisfied with quality
Musgrave,115625.72623605408,0.20262594707147855,25,19455.17734062297,Female,Dublin,Limited product availability
Musgrave,114480.12627198976,0.18083428281447958,24,36511.83684537736,Female,Dublin,Excellent product selection
Musgrave,121247.58728906275,0.17695570450365516,25,28438.670591833546,Female,London,Very clean and organized store
Costcutter,42963.47512100704,0.07491454270418814,75,53879.54090127673,Female,Manchester,Very clean and organized store
Musgrave,128929.6377814208,0.22277418018946205,71,31420.832881607002,Female,Birmingham,Excellent product selection
Musgrave,116271.18673451559,0.18129458613326419,68,39973.38819036914,Male,Birmingham,Friendly staff and fast checkout
Costcutter,72344.02759743562,0.11878520076894467,68,6888.089305279811,Male,Liverpool,Long waiting time
Musgrave,159885.8485864486,0.12610155100884124,27,31572.74590797622,Male,Manchester,Poor customer service
Costcutter,74385.29711470785,0.11350436282565364,42,20354.97807742267,Female,Dublin,Limited product availability
Musgrave,81788.11965716135,0.22795206783046926,71,30959.345204082936,Female,Dublin,Very clean and organized store
Musgrave,131068.18085513092,0.13137208445317508,71,24289.969619694297,Male,Liverpool,Bad shopping experience
Costcutter,73714.15766179211,0.1353552548909473,41,48969.242223657406,Female,Liverpool,Great prices and excellent service
Costcutter,63640.238946617224,0.07024531140808048,19,34118.425576056114,Male,London,Very clean and organized store
Costcutter,26809.02091707021,0.13410721665697412,66,22105.57063708386,Male,London,Poor customer service
Costcutter,25351.19872819248,0.13840415252380445,22,15623.527648681207,Male,Dublin,Long waiting time
Musgrave,79259.45951041926,0.18146645343956455,44,31662.326685154458,Male,Birmingham,Long waiting time
Musgrave,125253.54404678072,0.16095377743785483,58,49920.99817602073,Female,Liverpool,Too expensive
Musgrave,129358.31700570797,0.23385238725215826,74,47725.72053961519,Female,Manchester,Too expensive
Costcutter,46913.26559130324,0.09944160457471028,61,29225.626722205354,Male,London,Long waiting time
Costcutter,42863.25775420213,0.1539597677167395,37,49595.064218890846,Male,Liverpool,Bad shopping experience
Costcutter,64078.43480326763,0.12011141412537271,39,30149.694478364945,Female,Birmingham,Bad shopping experience
Musgrave,137053.22808293052,0.16033107054181195,48,43307.268161453874,Male,Birmingham,Excellent product selection
Musgrave,104715.97545700101,0.16938526389068376,20,34816.249823961836,Male,Manchester,Great prices and excellent service
Musgrave,135203.10318602694,0.18356308198290508,23,27775.07058059582,Male,London,Poor customer service
Costcutter,48966.71784446278,0.1507720534950748,48,58698.15789684485,Female,Liverpool,Excellent product selection
Musgrave,111366.72261471015,0.09260268171069078,23,47766.71825097468,Female,Birmingham,Long waiting time
Musgrave,126157.28723599954,0.21057682775931988,18,33385.99656930441,Female,Birmingham,Poor customer service
Costcutter,26595.752882009176,0.17235537776306653,21,41555.91400632439,Female,Dublin,Very clean and organized store
Costcutter,51957.22657644023,0.14105084893406078,33,51546.19878974306,Male,London,Very satisfied with quality
Musgrave,49601.523305547125,0.21488411762326803,29,17536.40547968561,Female,London,Very clean and organized store
Musgrave,160072.0238184751,0.15563071620136276,74,39205.81506575795,Male,Liverpool,Very clean and organized store
Costcutter,61976.46917704157,0.08646955979756774,62,44240.493042683425,Female,Birmingham,Very satisfied with quality
Costcutter,65474.72683037628,0.12653355152087922,55,31891.786736709506,Male,Birmingham,Excellent product selection
Musgrave,90490.37663729703,0.18177420002842393,50,42367.55876470882,Female,Manchester,Limited product availability
Musgrave,129172.26686179898,0.18591911008462442,31,38184.45602567626,Female,Liverpool,Very satisfied with quality
Musgrave,120747.68587873009,0.17912982798253096,28,25360.055518719884,Male,Birmingham,Limited product availability
Costcutter,41910.46571377827,0.13469355100203906,33,26233.523098349167,Male,Liverpool,Excellent product selection
Costcutter,34073.99307691043,0.20984315358650873,74,39546.517941809965,Male,Liverpool,Long waiting time
Musgrave,120799.93593467874,0.1296539613225543,50,52454.04281297982,Male,Dublin,Friendly staff and fast checkout
Musgrave,119652.56974784426,0.17576674892290398,57,46180.09313246013,Female,Liverpool,Great prices and excellent service
Musgrave,131123.56718982515,0.13512432313411385,61,31860.21400402878,Male,Manchester,Very satisfied with quality
Musgrave,107184.85957963926,0.17143089553165755,73,30840.925260606906,Male,Liverpool,Excellent product selection
Musgrave,137392.97829096625,0.1501678246337163,69,36972.69977769202,Male,Liverpool,Great prices and excellent service
Musgrave,142643.90839153898,0.2190485254597043,70,77806.48449950467,Female,Liverpool,Very clean and organized store
Costcutter,62390.60101435723,0.10311279483690815,45,56605.547151392166,Female,Dublin,Very clean and organized store
Costcutter,29377.262822167057,0.17256024525493596,64,45281.50488315869,Male,Dublin,Long waiting time
Musgrave,145430.44768774963,0.19058181725099518,69,4888.284500178293,Female,Manchester,Too expensive
Musgrave,152286.5540997217,0.14487885558860467,74,19459.22811450125,Female,Birmingham,Friendly staff and fast checkout
Musgrave,108363.63240080344,0.1623446480415697,56,18164.068046172255,Male,Birmingham,Friendly staff and fast checkout
Costcutter,60559.79754993364,0.08872917180679528,75,30502.917167684802,Male,Birmingham,Friendly staff and fast checkout
Costcutter,49830.81148274512,0.1412013539423106,57,26494.31760127864,Female,Dublin,Too expensive
Costcutter,64609.43071257825,0.09443884478453379,69,23310.8324941595,Female,Manchester,Limited product availability
Musgrave,178337.82347587516,0.1582078393653437,21,34795.84582300145,Female,London,Very satisfied with quality
Costcutter,56540.80759913965,0.11805267270942864,49,36487.70040315658,Female,Liverpool,Limited product availability
Costcutter,19663.412549910223,0.13190685510558428,45,40942.77274812346,Female,Birmingham,Too expensive
Musgrave,136721.81835982658,0.1905370677923498,42,30285.485766089856,Female,Birmingham,Poor customer service
Musgrave,58176.05106632184,0.15578465861435545,53,44161.31169637161,Female,Manchester,Limited product availability
Musgrave,103110.29597399384,0.15381450119908815,57,55471.61462931183,Male,Manchester,Very clean and organized store
Costcutter,33776.055906986476,0.10750795287051394,68,32704.31065956906,Female,Birmingham,Friendly staff and fast checkout
Costcutter,43009.54199988721,0.11275867025036551,53,13565.484420182434,Female,Birmingham,Very satisfied with quality
Musgrave,94660.0289068821,0.12890364868309537,21,43193.71807092969,Female,London,Too expensive
Costcutter,41610.18543761637,0.11403559238140125,60,39637.96820936504,Male,Liverpool,Friendly staff and fast checkout
Musgrave,113562.09343061448,0.17766600222042905,41,35254.60953070323,Male,Liverpool,Long waiting time
Musgrave,103979.94808299329,0.16902068438268258,18,25698.42492053707,Female,Liverpool,Very satisfied with quality
Costcutter,38018.98474022871,0.10236781471513763,21,27433.961016007688,Male,Manchester,Long waiting time
Costcutter,47415.205361784916,0.11190606930915883,57,20155.408793378003,Male,Manchester,Very clean and organized store
Costcutter,51176.99685561494,0.09367598015724478,60,28247.293919008996,Female,Dublin,Limited product availability
Costcutter,49594.72416957754,0.12458221467704621,74,36219.2132337298,Male,London,Excellent product selection
Costcutter,61062.65050298799,0.13846091214612313,38,51936.00086532422,Male,London,Limited product availability
Costcutter,42706.53021609868,0.13052425504119577,38,34497.80115151753,Female,Birmingham,Very clean and organized store
Musgrave,171007.50272257536,0.16807392765451226,35,24634.365727363635,Male,Dublin,Limited product availability
